Períodos;Total
jan/18;17,4
Fev / 2018;17,1
mar/18;16,9
Abr / 2018;18,6
Mai / 2018;17,5
jun/18;16,9
jul/18;17,4
Ago / 2018;17
Set / 2018;16,9
Out / 2018;17,2
nov/18;17,4
Dez / 2018;17,3
jan/19;17
Fev / 2019;17,1
mar/19;16,5
Abr / 2019;15,4
Mai / 2019;16,4
jun/19;16,8
jul/19;15,8
Ago / 2019;14,7
Set / 2019;14,2
Out / 2019;15,3
nov/19;14,6
Dez / 2019;14,5
jan/20;14
Fev / 2020;12,9
mar/20;12,5
Abr / 2020;8,9
Mai / 2020;4,6
jun/20;2,1
jul/20;-0,7
Ago / 2020;-2,5
Set / 2020;-3,1
Out / 2020;-3
nov/20;-2,7
Dez / 2020;-1,9
jan/21;-2,4
Fev / 2021;-1,7
mar/21;0,7
Abr / 2021;6,5
Mai / 2021;13,2
jun/21;18,2
jul/21;22,1
Ago / 2021;27
Set / 2021;27,7
Out / 2021;27,4
nov/21;26,5
Dez / 2021;25
jan/22;25,2
Fev / 2022;24,5
mar/22;23
Abr / 2022;19,7
Mai / 2022;16,5
jun/22;14,4
jul/22;13,9
Ago / 2022;12,6
Set / 2022;13
Out / 2022;13,8
nov/22;14,5
Dez / 2022;14,9
jan/23;15,6
Fev / 2023;15,2
mar/23;14,9
Abr / 2023;14,6
Mai / 2023;14,9
jun/23;15,1
jul/23;14,5
Ago / 2023;14,1
Set / 2023;12,7
